,words,true_label,predicted_lable
0,The,DET,DET
1,quarrel,NOUN,NOUN
2,ended,VERB,VERB
3,in,ADP,ADP
4,a,DET,DET
5,ridiculous,ADJ,ADJ
6,draw,NOUN,NOUN
7,",",.,.
8,but,CONJ,CONJ
9,I,PRON,PRON
10,must,VERB,VERB
11,tell,VERB,VERB
12,you,PRON,PRON
13,about,ADP,ADP
14,it,PRON,PRON
15,.,.,.
16,Oh,PRT,PRT
17,",",.,.
18,yes,ADV,ADV
19,",",.,.
20,I'm,PRT,PRT
21,quite,ADV,ADV
22,sure,ADJ,ADJ
23,it's,PRT,PRT
24,important,ADJ,ADJ
25,",",.,.
26,because,ADP,ADP
27,of,ADP,ADP
28,the,DET,DET
29,Beech,NOUN,NOUN
30,Pasture,NOUN,NOUN
31,.,.,.
32,What's,PRT,PRT
33,that,DET,DET
34,?,.,.
35,?,.,.
36,Why,ADV,ADV
37,",",.,.
38,that's,PRT,PRT
39,what,DET,DET
40,gave,VERB,VERB
41,me,PRON,PRON
42,the,DET,DET
43,feeling,NOUN,NOUN
44,",",.,.
45,gave,VERB,VERB
46,me,PRON,PRON
47,as-it-were,ADV,ADP
48,the,DET,DET
49,spirit,NOUN,NOUN
50,",",.,.
51,the,DET,DET
52,demoniac,ADJ,NOUN
53,",",.,.
54,evil,ADJ,ADJ
55,spirit,NOUN,NOUN
56,of,ADP,ADP
57,this,DET,DET
58,whole,NOUN,ADJ
59,affair,NOUN,NOUN
60,.,.,.
61,You,PRON,PRON
62,see,VERB,VERB
63,",",.,.
64,besides,ADV,ADP
65,being,VERB,VERB
66,custodian,NOUN,NOUN
67,of,ADP,ADP
68,antiquities,NOUN,NOUN
69,",",.,.
70,I,PRON,PRON
71,am,VERB,VERB
72,also,ADV,ADV
73,registrar,NOUN,NOUN
74,.,.,.
75,No,ADV,ADV
76,",",.,.
77,I,PRON,PRON
78,don't,VERB,VERB
79,hold,VERB,VERB
80,with,ADP,ADP
81,those,DET,DET
82,who,PRON,PRON
83,live,VERB,VERB
84,entirely,ADV,ADV
85,among,ADP,ADP
86,dead,ADJ,ADJ
87,things,NOUN,NOUN
88,.,.,.
89,I,PRON,PRON
90,know,VERB,VERB
91,as,ADV,ADV
92,well,ADV,ADV
93,as,ADP,ADP
94,the,DET,DET
95,next,ADJ,ADJ
96,man,NOUN,NOUN
97,that,ADP,ADP
98,a,DET,DET
99,ship,NOUN,NOUN
100,is,VERB,VERB
101,called,VERB,VERB
102,from,ADP,ADP
103,the,DET,DET
104,rigging,NOUN,VERB
105,she,PRON,PRON
106,carries,VERB,VERB
107,",",.,.
108,where,ADV,ADV
109,the,DET,DET
110,live,ADJ,ADJ
111,wind,NOUN,NOUN
112,blows,VERB,VERB
113,",",.,.
114,and,CONJ,CONJ
115,not,ADV,ADV
116,from,ADP,ADP
117,the,DET,DET
118,hull,NOUN,NOUN
119,.,.,.
120,But,CONJ,CONJ
121,you've,PRT,PRT
122,got,VERB,VERB
123,to,PRT,PRT
124,know,VERB,VERB
125,both,DET,DET
126,.,.,.
127,What's,PRT,PRT
128,below,ADP,ADP
129,the,DET,DET
